"year","month","day","start","end","length","date"
2016,10,"16",2017-08-21 07:14:00,2017-08-21 17:59:00,"10:45:18",2016-10-16
2016,10,"17",2017-08-21 07:15:00,2017-08-21 17:57:00,"10:41:49",2016-10-17
2016,10,"18",2017-08-21 07:17:00,2017-08-21 17:55:00,"10:38:21",2016-10-18
2016,10,"19",2017-08-21 07:19:00,2017-08-21 17:53:00,"10:34:53",2016-10-19
2016,10,"20",2017-08-21 07:20:00,2017-08-21 17:52:00,"10:31:26",2016-10-20
2016,10,"21",2017-08-21 07:22:00,2017-08-21 17:50:00,"10:28:00",2016-10-21
2016,10,"22",2017-08-21 07:23:00,2017-08-21 17:48:00,"10:24:34",2016-10-22
2016,10,"23",2017-08-21 07:25:00,2017-08-21 17:46:00,"10:21:10",2016-10-23
2016,10,"24",2017-08-21 07:26:00,2017-08-21 17:44:00,"10:17:46",2016-10-24
2016,10,"25",2017-08-21 07:28:00,2017-08-21 17:42:00,"10:14:23",2016-10-25
2016,10,"26",2017-08-21 07:30:00,2017-08-21 17:41:00,"10:11:01",2016-10-26
2016,10,"27",2017-08-21 07:31:00,2017-08-21 17:39:00,"10:07:40",2016-10-27
2016,10,"28",2017-08-21 07:33:00,2017-08-21 17:37:00,"10:04:21",2016-10-28
2016,10,"29",2017-08-21 07:34:00,2017-08-21 17:35:00,"10:01:02",2016-10-29
2016,10,"30",2017-08-21 06:36:00,2017-08-21 16:34:00,"9:57:45",2016-10-30
2016,10,"31",2017-08-21 06:38:00,2017-08-21 16:32:00,"9:54:29",2016-10-31
2016,11,"1",2017-08-21 06:39:00,2017-08-21 16:30:00,"9:51:15",2016-11-01
2016,11,"2",2017-08-21 06:41:00,2017-08-21 16:29:00,"9:48:02",2016-11-02
2016,11,"3",2017-08-21 06:42:00,2017-08-21 16:27:00,"9:44:50",2016-11-03
2016,11,"4",2017-08-21 06:44:00,2017-08-21 16:26:00,"9:41:40",2016-11-04
2016,11,"5",2017-08-21 06:46:00,2017-08-21 16:24:00,"9:38:32",2016-11-05
2016,11,"6",2017-08-21 06:47:00,2017-08-21 16:23:00,"9:35:26",2016-11-06
2016,11,"7",2017-08-21 06:49:00,2017-08-21 16:21:00,"9:32:21",2016-11-07
2016,11,"8",2017-08-21 06:50:00,2017-08-21 16:20:00,"9:29:18",2016-11-08
2016,11,"9",2017-08-21 06:52:00,2017-08-21 16:18:00,"9:26:18",2016-11-09
2016,11,"10",2017-08-21 06:54:00,2017-08-21 16:17:00,"9:23:19",2016-11-10
2016,11,"11",2017-08-21 06:55:00,2017-08-21 16:16:00,"9:20:23",2016-11-11
2016,11,"12",2017-08-21 06:57:00,2017-08-21 16:14:00,"9:17:29",2016-11-12
2016,11,"13",2017-08-21 06:58:00,2017-08-21 16:13:00,"9:14:38",2016-11-13
2016,11,"14",2017-08-21 07:00:00,2017-08-21 16:12:00,"9:11:49",2016-11-14
2016,11,"15",2017-08-21 07:01:00,2017-08-21 16:10:00,"9:09:03",2016-11-15
2016,11,"16",2017-08-21 07:03:00,2017-08-21 16:09:00,"9:06:20",2016-11-16
2016,11,"17",2017-08-21 07:04:00,2017-08-21 16:08:00,"9:03:39",2016-11-17
2016,11,"18",2017-08-21 07:06:00,2017-08-21 16:07:00,"9:01:01",2016-11-18
2016,11,"19",2017-08-21 07:08:00,2017-08-21 16:06:00,"8:58:27",2016-11-19
2016,11,"20",2017-08-21 07:09:00,2017-08-21 16:05:00,"8:55:55",2016-11-20
2016,11,"21",2017-08-21 07:11:00,2017-08-21 16:04:00,"8:53:27",2016-11-21
2016,11,"22",2017-08-21 07:12:00,2017-08-21 16:03:00,"8:51:02",2016-11-22
2016,11,"23",2017-08-21 07:13:00,2017-08-21 16:02:00,"8:48:41",2016-11-23
2016,11,"24",2017-08-21 07:15:00,2017-08-21 16:01:00,"8:46:23",2016-11-24
2016,11,"25",2017-08-21 07:16:00,2017-08-21 16:00:00,"8:44:09",2016-11-25
2016,11,"26",2017-08-21 07:18:00,2017-08-21 16:00:00,"8:41:59",2016-11-26
2016,11,"27",2017-08-21 07:19:00,2017-08-21 15:59:00,"8:39:53",2016-11-27
2016,11,"28",2017-08-21 07:20:00,2017-08-21 15:58:00,"8:37:50",2016-11-28
2016,11,"29",2017-08-21 07:22:00,2017-08-21 15:58:00,"8:35:53",2016-11-29
2016,11,"30",2017-08-21 07:23:00,2017-08-21 15:57:00,"8:33:59",2016-11-30
2016,12,"1",2017-08-21 07:24:00,2017-08-21 15:57:00,"8:32:10",2016-12-01
2016,12,"2",2017-08-21 07:26:00,2017-08-21 15:56:00,"8:30:25",2016-12-02
2016,12,"3",2017-08-21 07:27:00,2017-08-21 15:56:00,"8:28:45",2016-12-03
2016,12,"4",2017-08-21 07:28:00,2017-08-21 15:55:00,"8:27:10",2016-12-04
2016,12,"5",2017-08-21 07:29:00,2017-08-21 15:55:00,"8:25:39",2016-12-05
2016,12,"6",2017-08-21 07:30:00,2017-08-21 15:55:00,"8:24:14",2016-12-06
2016,12,"7",2017-08-21 07:32:00,2017-08-21 15:54:00,"8:22:53",2016-12-07
2016,12,"8",2017-08-21 07:33:00,2017-08-21 15:54:00,"8:21:38",2016-12-08
2016,12,"9",2017-08-21 07:34:00,2017-08-21 15:54:00,"8:20:28",2016-12-09
2016,12,"10",2017-08-21 07:35:00,2017-08-21 15:54:00,"8:19:23",2016-12-10
2016,12,"11",2017-08-21 07:36:00,2017-08-21 15:54:00,"8:18:23",2016-12-11
2016,12,"12",2017-08-21 07:37:00,2017-08-21 15:54:00,"8:17:29",2016-12-12
2016,12,"13",2017-08-21 07:37:00,2017-08-21 15:54:00,"8:16:40",2016-12-13
2016,12,"14",2017-08-21 07:38:00,2017-08-21 15:54:00,"8:15:57",2016-12-14
2016,12,"15",2017-08-21 07:39:00,2017-08-21 15:54:00,"8:15:20",2016-12-15
2016,12,"16",2017-08-21 07:40:00,2017-08-21 15:55:00,"8:14:48",2016-12-16
2016,12,"17",2017-08-21 07:41:00,2017-08-21 15:55:00,"8:14:22",2016-12-17
2016,12,"18",2017-08-21 07:41:00,2017-08-21 15:55:00,"8:14:02",2016-12-18
2016,12,"19",2017-08-21 07:42:00,2017-08-21 15:56:00,"8:13:47",2016-12-19
2016,12,"20",2017-08-21 07:42:00,2017-08-21 15:56:00,"8:13:38",2016-12-20
2016,12,"21",2017-08-21 07:43:00,2017-08-21 15:57:00,"8:13:35",2016-12-21
2016,12,"22",2017-08-21 07:43:00,2017-08-21 15:57:00,"8:13:38",2016-12-22
2016,12,"23",2017-08-21 07:44:00,2017-08-21 15:58:00,"8:13:46",2016-12-23
2016,12,"24",2017-08-21 07:44:00,2017-08-21 15:58:00,"8:14:01",2016-12-24
2016,12,"25",2017-08-21 07:45:00,2017-08-21 15:59:00,"8:14:21",2016-12-25
2016,12,"26",2017-08-21 07:45:00,2017-08-21 16:00:00,"8:14:47",2016-12-26
2016,12,"27",2017-08-21 07:45:00,2017-08-21 16:00:00,"8:15:18",2016-12-27
2016,12,"28",2017-08-21 07:45:00,2017-08-21 16:01:00,"8:15:55",2016-12-28
2016,12,"29",2017-08-21 07:45:00,2017-08-21 16:02:00,"8:16:38",2016-12-29
2016,12,"30",2017-08-21 07:46:00,2017-08-21 16:03:00,"8:17:27",2016-12-30
2016,12,"31",2017-08-21 07:46:00,2017-08-21 16:04:00,"8:18:21",2016-12-31
